ts kv_usage running waiting_cap apc_q apc_h ext_q ext_h preempt l1_obj l1_gb
10:34:26 0.726851004089605 3.0 HELP 6.13323152e+08 2.595248e+06 5.600541e+06 0.0 26.0 5455 68.64
10:34:31 0.8714521149972533 3.0 HELP 6.43827234e+08 2.595248e+06 5.600541e+06 0.0 27.0 5455 68.64
10:34:36 0.5221265946407863 2.0 HELP 7.07587646e+08 2.595248e+06 5.600541e+06 0.0 27.0 5455 68.64
10:34:42 0.9284013916865043 3.0 HELP 7.07702323e+08 2.595248e+06 5.715218e+06 0.0 27.0 5455 68.64
10:34:47 0.7819691143258256 3.0 HELP 7.27535134e+08 2.595248e+06 5.782733e+06 0.0 28.0 5455 68.64
10:34:52 0.745528901910517 3.0 HELP 7.7002057e+08 2.595248e+06 5.897249e+06 0.0 28.0 5455 68.64
10:34:57 0.6211316608679729 3.0 HELP 7.72737031e+08 2.595248e+06 5.936618e+06 0.0 29.0 5455 68.64
10:35:02 0.6555575901849477 3.0 HELP 7.73996563e+08 2.595248e+06 6.041579e+06 0.0 29.0 5455 68.64
10:35:07 0.9497039614234267 4.0 HELP 7.92434202e+08 2.595248e+06 6.147114e+06 0.0 29.0 5455 68.64
10:35:12 0.8181041323322957 4.0 HELP 8.03344471e+08 2.595248e+06 6.226751e+06 0.0 30.0 5455 68.64
10:35:17 0.855948239028261 4.0 HELP 8.14275571e+08 2.607872e+06 6.293886e+06 0.0 32.0 5455 68.64
10:35:22 0.8058353170969907 4.0 HELP 8.32966513e+08 2.607872e+06 6.427153e+06 0.0 32.0 5455 68.64
10:35:28 0.8940365012512971 4.0 HELP 8.40525489e+08 2.607872e+06 6.518225e+06 0.0 33.0 5455 68.64
10:35:33 0.7473600683635475 3.0 HELP 8.50738557e+08 2.607872e+06 6.617381e+06 0.0 34.0 5455 68.64
10:35:38 0.8481352621619972 3.0 HELP 8.91129327e+08 2.607872e+06 6.617381e+06 0.0 34.0 5455 68.64
10:35:43 0.8445339681377038 3.0 HELP 9.07641277e+08 2.607872e+06 6.744396e+06 0.0 34.0 5455 68.64
10:35:48 0.6579381065738876 3.0 HELP 9.15988943e+08 2.607872e+06 6.83819e+06 0.0 35.0 5455 68.64
10:35:53 0.9938350729414637 4.0 HELP 9.22277523e+08 2.607872e+06 6.88284e+06 0.0 35.0 5455 68.64
10:35:58 0.8414820240493194 5.0 HELP 9.23986058e+08 2.628368e+06 7.032803e+06 0.0 37.0 5456 68.65
10:36:03 0.6553744735396447 4.0 HELP 9.78451421e+08 2.628368e+06 7.033208e+06 0.0 37.0 5455 68.64
10:36:08 0.6172862113166087 4.0 HELP 1.021752106e+09 2.628368e+06 7.137547e+06 0.0 37.0 5456 68.65
10:36:13 0.9985350668375755 6.0 HELP 1.022627564e+09 2.628368e+06 7.190317e+06 0.0 37.0 5455 68.64
10:36:19 0.8051028505157786 4.0 HELP 1.03175754e+09 2.628368e+06 7.190317e+06 0.0 39.0 5455 68.64
10:36:24 0.8811572971983154 6.0 HELP 1.033996779e+09 2.640992e+06 7.261504e+06 0.0 40.0 5455 68.64
10:36:29 0.8117560886284563 5.0 HELP 1.054119288e+09 2.640992e+06 7.310491e+06 0.0 41.0 5455 68.64
10:36:34 0.0 0.0 HELP 1.065850323e+09 2.640992e+06 7.310491e+06 0.0 41.0 5455 68.64
10:36:39 0.0 0.0 HELP 1.065850323e+09 2.640992e+06 7.310491e+06 0.0 41.0 5455 68.64
10:36:44 0.0 0.0 HELP 1.065850323e+09 2.640992e+06 7.310491e+06 0.0 41.0 5455 68.64
10:36:49 0.0 0.0 HELP 1.065850323e+09 2.640992e+06 7.310491e+06 0.0 41.0 5455 68.64
10:36:54 0.0 0.0 HELP 1.065850323e+09 2.640992e+06 7.310491e+06 0.0 41.0 5455 68.64
10:36:59 0.0 0.0 HELP 1.065850323e+09 2.640992e+06 7.310491e+06 0.0 41.0 5455 68.64
10:37:04 0.0 0.0 HELP 1.065850323e+09 2.640992e+06 7.310491e+06 0.0 41.0 5455 68.64
10:37:10 0.0 0.0 HELP 1.065850323e+09 2.640992e+06 7.310491e+06 0.0 41.0 5455 68.64
10:37:15 0.0 0.0 HELP 1.065850323e+09 2.640992e+06 7.310491e+06 0.0 41.0 5455 68.64
10:37:20 0.0 0.0 HELP 1.065850323e+09 2.640992e+06 7.310491e+06 0.0 41.0 5455 68.64
10:37:25 0.0 0.0 HELP 1.065850323e+09 2.640992e+06 7.310491e+06 0.0 41.0 5455 68.64
10:37:30 0.0 0.0 HELP 1.065850323e+09 2.640992e+06 7.310491e+06 0.0 41.0 5455 68.64
10:37:35 0.0 0.0 HELP 1.065850323e+09 2.640992e+06 7.310491e+06 0.0 41.0 5455 68.64
10:37:40 0.0 0.0 HELP 1.065850323e+09 2.640992e+06 7.310491e+06 0.0 41.0 5455 68.64
10:37:45 0.0 0.0 HELP 1.065850323e+09 2.640992e+06 7.310491e+06 0.0 41.0 5455 68.64
10:37:50 0.0 0.0 HELP 1.065850323e+09 2.640992e+06 7.310491e+06 0.0 41.0 5455 68.64
10:37:55 0.0 0.0 HELP 1.065850323e+09 2.640992e+06 7.310491e+06 0.0 41.0 5455 68.64
10:38:01 0.0 0.0 HELP 1.065850323e+09 2.640992e+06 7.310491e+06 0.0 41.0 5455 68.64
