(Worker_TP3 pid=1596180) INFO 09-02 20:38:46 [timed_mp_connector.py:110] TIMER pid=1596180 role=WORKER steps=200 wall_ms/step=89.49 hooks_ms/step=0.764 cpu_busy=2.00 | bind_connector_metadata=0.005(1.0x) build_connector_worker_meta=0.001(1.0x) clear_connector_metadata=0.001(1.0x) get_block_ids_with_load_errors=0.003(1.0x) get_finished=0.125(1.0x) get_kv_connector_stats=0.001(1.0x) handle_preemptions=0.008(1.0x) save_kv_layer=0.069(36.0x) start_load_kv=0.003(1.0x) wait_for_layer_load=0.135(36.0x) wait_for_save=0.413(1.0x)
(Worker_TP5 pid=1596182) INFO 09-02 20:38:46 [timed_mp_connector.py:110] TIMER pid=1596182 role=WORKER steps=200 wall_ms/step=89.49 hooks_ms/step=0.884 cpu_busy=1.86 | bind_connector_metadata=0.005(1.0x) build_connector_worker_meta=0.001(1.0x) clear_connector_metadata=0.001(1.0x) get_block_ids_with_load_errors=0.003(1.0x) get_finished=0.086(1.0x) get_kv_connector_stats=0.001(1.0x) handle_preemptions=0.011(1.0x) save_kv_layer=0.076(36.0x) start_load_kv=0.004(1.0x) wait_for_layer_load=0.140(36.0x) wait_for_save=0.555(1.0x)
(Worker_TP6 pid=1596183) INFO 09-02 20:38:46 [timed_mp_connector.py:110] TIMER pid=1596183 role=WORKER steps=200 wall_ms/step=89.19 hooks_ms/step=0.878 cpu_busy=1.96 | bind_connector_metadata=0.005(1.0x) build_connector_worker_meta=0.001(1.0x) clear_connector_metadata=0.001(1.0x) get_block_ids_with_load_errors=0.003(1.0x) get_finished=0.107(1.0x) get_kv_connector_stats=0.001(1.0x) handle_preemptions=0.010(1.0x) save_kv_layer=0.074(36.0x) start_load_kv=0.004(1.0x) wait_for_layer_load=0.139(36.0x) wait_for_save=0.532(1.0x)
(Worker_TP7 pid=1596184) INFO 09-02 20:38:46 [timed_mp_connector.py:110] TIMER pid=1596184 role=WORKER steps=200 wall_ms/step=89.11 hooks_ms/step=0.909 cpu_busy=1.73 | bind_connector_metadata=0.005(1.0x) build_connector_worker_meta=0.001(1.0x) clear_connector_metadata=0.001(1.0x) get_block_ids_with_load_errors=0.003(1.0x) get_finished=0.091(1.0x) get_kv_connector_stats=0.001(1.0x) handle_preemptions=0.010(1.0x) save_kv_layer=0.082(36.0x) start_load_kv=0.004(1.0x) wait_for_layer_load=0.149(36.0x) wait_for_save=0.561(1.0x)
(Worker_TP0 pid=1596177) INFO 09-02 20:38:46 [timed_mp_connector.py:110] TIMER pid=1596177 role=WORKER steps=200 wall_ms/step=89.49 hooks_ms/step=0.754 cpu_busy=1.98 | bind_connector_metadata=0.005(1.0x) build_connector_worker_meta=0.001(1.0x) clear_connector_metadata=0.001(1.0x) get_block_ids_with_load_errors=0.002(1.0x) get_finished=0.109(1.0x) get_kv_connector_stats=0.001(1.0x) handle_preemptions=0.008(1.0x) save_kv_layer=0.072(36.0x) start_load_kv=0.003(1.0x) wait_for_layer_load=0.129(36.0x) wait_for_save=0.422(1.0x)
(Worker_TP1 pid=1596178) INFO 09-02 20:38:46 [timed_mp_connector.py:110] TIMER pid=1596178 role=WORKER steps=200 wall_ms/step=89.73 hooks_ms/step=0.812 cpu_busy=1.91 | bind_connector_metadata=0.005(1.0x) build_connector_worker_meta=0.001(1.0x) clear_connector_metadata=0.001(1.0x) get_block_ids_with_load_errors=0.003(1.0x) get_finished=0.130(1.0x) get_kv_connector_stats=0.001(1.0x) handle_preemptions=0.009(1.0x) save_kv_layer=0.076(36.0x) start_load_kv=0.004(1.0x) wait_for_layer_load=0.140(36.0x) wait_for_save=0.442(1.0x)
(EngineCore pid=1595738) INFO 09-02 20:39:05 [timed_mp_connector.py:110] TIMER pid=1595738 role=SCHEDULER steps=200 wall_ms/step=93.32 hooks_ms/step=20.603 cpu_busy=0.97 | build_connector_meta=0.697(1.0x) get_num_new_matched_tokens=19.797(29.9x) on_new_request=0.001(0.3x) request_finished=0.031(0.1x) request_finished_all_groups=0.032(0.1x) sub_async_collect=0.002(0.1x) cpusub_async_collect=0.002(0.1x) sub_async_defer=0.116(29.8x) cpusub_async_defer=0.100(29.8x) sub_async_submit=0.957(29.9x) cpusub_async_submit=0.941(29.9x) sub_check_result=4.343(0.1x) cpusub_check_result=0.014(0.1x) sub_create_key=0.267(1.0x) cpusub_create_key=0.268(1.0x) sub_get_tracker=0.043(29.9x) cpusub_get_tracker=0.046(29.9x) take_events=0.002(1.0x) update_connector_output=0.003(1.0x) update_state_after_alloc=0.040(0.1x)
(Worker_TP1 pid=1596178) INFO 09-02 20:39:05 [timed_mp_connector.py:110] TIMER pid=1596178 role=WORKER steps=200 wall_ms/step=92.88 hooks_ms/step=0.667 cpu_busy=1.75 | bind_connector_metadata=0.004(1.0x) build_connector_worker_meta=0.001(1.0x) clear_connector_metadata=0.001(1.0x) get_block_ids_with_load_errors=0.003(1.0x) get_finished=0.078(1.0x) get_kv_connector_stats=0.001(1.0x) handle_preemptions=0.009(1.0x) save_kv_layer=0.062(30.6x) start_load_kv=0.003(1.0x) wait_for_layer_load=0.117(30.6x) wait_for_save=0.388(0.8x)
(Worker_TP2 pid=1596179) INFO 09-02 20:39:05 [timed_mp_connector.py:110] TIMER pid=1596179 role=WORKER steps=200 wall_ms/step=93.32 hooks_ms/step=0.673 cpu_busy=1.79 | bind_connector_metadata=0.005(1.0x) build_connector_worker_meta=0.001(1.0x) clear_connector_metadata=0.001(1.0x) get_block_ids_with_load_errors=0.003(1.0x) get_finished=0.081(1.0x) get_kv_connector_stats=0.001(1.0x) handle_preemptions=0.007(1.0x) save_kv_layer=0.060(30.6x) start_load_kv=0.004(1.0x) wait_for_layer_load=0.114(30.6x) wait_for_save=0.397(0.8x)
(Worker_TP0 pid=1596177) INFO 09-02 20:39:05 [timed_mp_connector.py:110] TIMER pid=1596177 role=WORKER steps=200 wall_ms/step=93.32 hooks_ms/step=0.621 cpu_busy=1.79 | bind_connector_metadata=0.004(1.0x) build_connector_worker_meta=0.001(1.0x) clear_connector_metadata=0.001(1.0x) get_block_ids_with_load_errors=0.002(1.0x) get_finished=0.076(1.0x) get_kv_connector_stats=0.001(1.0x) handle_preemptions=0.007(1.0x) save_kv_layer=0.060(30.6x) start_load_kv=0.003(1.0x) wait_for_layer_load=0.108(30.6x) wait_for_save=0.358(0.8x)
